slot,seed,profile,method,finite_gap,method_label,running_mean_finite_gap
26,1000,balanced,freshness_priority,7.538682615646394,Freshness-Priority,5.5934212280631375
27,1000,balanced,freshness_priority,7.844272204123172,Freshness-Priority,5.673808762922425
28,1000,balanced,freshness_priority,35.70859479515957,Freshness-Priority,6.709491039896119
29,1000,balanced,freshness_priority,14.051992359048654,Freshness-Priority,6.9542410838678705
30,1000,balanced,freshness_priority,0.2629851019054285,Freshness-Priority,6.738394116707791
31,1000,balanced,freshness_priority,0.1618555595849784,Freshness-Priority,6.532877286797704
32,1000,balanced,freshness_priority,86.36947409944617,Freshness-Priority,8.952168099302202
33,1000,balanced,freshness_priority,0.1462101035630212,Freshness-Priority,8.693169334721638
34,1000,balanced,freshness_priority,23.20428357687604,Freshness-Priority,9.107772598783193
35,1000,balanced,freshness_priority,28.9364568940573,Freshness-Priority,9.658569384763029
36,1000,balanced,freshness_priority,30.448401813265264,Freshness-Priority,10.220456747695522
37,1000,balanced,freshness_priority,64.47472636939824,Freshness-Priority,11.648200685108751
38,1000,balanced,freshness_priority,27.70165791648128,Freshness-Priority,12.059827793605482
39,1000,balanced,freshness_priority,21.38588652326939,Freshness-Priority,12.29297926184708
40,1000,balanced,freshness_priority,14.515291808122583,Freshness-Priority,12.34718200687819
41,1000,balanced,freshness_priority,50.17590043559312,Freshness-Priority,13.24786577899045
42,1000,balanced,freshness_priority,106.81832494713215,Freshness-Priority,15.423922968947235
43,1000,balanced,freshness_priority,20.491798271619245,Freshness-Priority,15.539101953098871
44,1000,balanced,freshness_priority,108.91122864443696,Freshness-Priority,17.614038101795273
45,1000,balanced,freshness_priority,38.55103701993721,Freshness-Priority,18.069190252189664
46,1000,balanced,freshness_priority,24.610342909522387,Freshness-Priority,18.208363712983974
47,1000,balanced,freshness_priority,102.26406849503428,Freshness-Priority,19.959524229276692
48,1000,balanced,freshness_priority,2.360147441123445,Freshness-Priority,19.60035327441642
49,1000,balanced,freshness_priority,51.20251790419525,Freshness-Priority,20.232396567011996
50,1000,balanced,freshness_priority,23.800340619101007,Freshness-Priority,20.30235625430786
51,1000,balanced,freshness_priority,740.147053432509,Freshness-Priority,34.14552350773481
52,1000,balanced,freshness_priority,0.0,Freshness-Priority,33.50126834721151
53,1000,balanced,freshness_priority,53.95021994338731,Freshness-Priority,33.87995263602958
54,1000,balanced,freshness_priority,20.62396349631399,Freshness-Priority,33.638934651671114
55,1000,balanced,freshness_priority,0.5078840030264473,Freshness-Priority,33.04730874723103
56,1000,balanced,freshness_priority,63.47101554146138,Freshness-Priority,33.58105798923507
57,1000,balanced,freshness_priority,16.303011556150523,Freshness-Priority,33.28316063694051
58,1000,balanced,freshness_priority,0.0,Freshness-Priority,32.719039270212704
59,1000,balanced,freshness_priority,44.470550941712645,Freshness-Priority,32.91489779807104
60,1000,balanced,freshness_priority,0.0,Freshness-Priority,32.37530930957807
61,1000,balanced,freshness_priority,0.0,Freshness-Priority,31.853126901359065
62,1000,balanced,freshness_priority,48.96352708746599,Freshness-Priority,32.1247205551068
63,1000,balanced,freshness_priority,28.86567787639433,Freshness-Priority,32.07379801325191
64,1000,balanced,freshness_priority,142.55438563991174,Freshness-Priority,33.773499361354375
65,1000,balanced,freshness_priority,15.46548802061261,Freshness-Priority,33.496105250131016
66,1000,balanced,freshness_priority,22.986879156560008,Freshness-Priority,33.339251129331444
67,1000,balanced,freshness_priority,70.5412808809624,Freshness-Priority,33.88633980214954
68,1000,balanced,freshness_priority,67.45917573232646,Freshness-Priority,34.37290264171733
69,1000,balanced,freshness_priority,70.75648209507062,Freshness-Priority,34.892668062479515
70,1000,balanced,freshness_priority,23.68308756509396,Freshness-Priority,34.734786647023384
71,1000,balanced,freshness_priority,53.782519512536055,Freshness-Priority,34.999338492377724
72,1000,balanced,freshness_priority,57.237128046007456,Freshness-Priority,35.30396574653704
73,1000,balanced,freshness_priority,67.62399753610316,Freshness-Priority,35.74072293288252
74,1000,balanced,freshness_priority,4.037374239422206,Freshness-Priority,35.31801161696972
75,1000,balanced,freshness_priority,22.78706474755063,Freshness-Priority,35.153130737108945
76,1000,balanced,freshness_priority,98.97022605438316,Freshness-Priority,35.981924182787836
77,1000,balanced,freshness_priority,341.27250323704584,Freshness-Priority,39.89590596553473
78,1000,balanced,freshness_priority,78.48277593793637,Freshness-Priority,40.38434735759044
79,1000,balanced,freshness_priority,108.97683164716454,Freshness-Priority,41.24175341121012
80,1000,balanced,freshness_priority,99.62253072927888,Freshness-Priority,41.962503748470226
81,1000,balanced,freshness_priority,61.82690953049951,Freshness-Priority,42.20475259947059
82,1000,balanced,freshness_priority,71.96014157266109,Freshness-Priority,42.56325126179818
83,1000,balanced,freshness_priority,151.26829498602456,Freshness-Priority,43.85735892518183
84,1000,balanced,freshness_priority,79.15259854087981,Freshness-Priority,44.27259703830769
85,1000,balanced,freshness_priority,22.029108526166056,Freshness-Priority,44.01395182305023
86,1000,balanced,freshness_priority,79.0557828886258,Freshness-Priority,44.41673149047063
87,1000,balanced,freshness_priority,78.92286000480999,Freshness-Priority,44.80884658722449
88,1000,balanced,freshness_priority,56.1557641476229,Freshness-Priority,44.9363400429593
89,1000,balanced,freshness_priority,68.64548177850702,Freshness-Priority,45.199774951132056
90,1000,balanced,freshness_priority,42.098819866128906,Freshness-Priority,45.165698521626524
91,1000,balanced,freshness_priority,51.12874713785732,Freshness-Priority,45.23051426745512
92,1000,balanced,freshness_priority,68.0489539780092,Freshness-Priority,45.47587383423527
93,1000,balanced,freshness_priority,1.5795096049932908,Freshness-Priority,45.008891236051845
94,1000,balanced,freshness_priority,30.75650510483956,Freshness-Priority,44.858866118881195
95,1000,balanced,freshness_priority,298.9173524578755,Freshness-Priority,47.505308684912386
96,1000,balanced,freshness_priority,78.7380343863324,Freshness-Priority,47.82729554781362
97,1000,balanced,freshness_priority,101.32552046764886,Freshness-Priority,48.373195802097655
98,1000,balanced,freshness_priority,3.0226976055391788,Freshness-Priority,47.915109961728376
99,1000,balanced,freshness_priority,163.58766218259552,Freshness-Priority,49.07183548393705
100,1000,balanced,freshness_priority,62.76505022130641,Freshness-Priority,49.20741186747536
101,1000,balanced,freshness_priority,103.17083114466097,Freshness-Priority,49.73646499764384
102,1000,balanced,freshness_priority,130.41187147224537,Freshness-Priority,50.519721371183664
103,1000,balanced,freshness_priority,85.9604730943638,Freshness-Priority,50.860497830060396
104,1000,balanced,freshness_priority,55.971510927734926,Freshness-Priority,50.909174145276346
105,1000,balanced,freshness_priority,52.15899450998404,Freshness-Priority,50.92096490343396
106,1000,balanced,freshness_priority,320.0858494477416,Freshness-Priority,53.43652457207235
107,1000,balanced,freshness_priority,182.0473897444372,Freshness-Priority,54.62736591626091
108,1000,balanced,freshness_priority,41.31409552386685,Freshness-Priority,54.50522582091785
109,1000,balanced,freshness_priority,8.705052193592564,Freshness-Priority,54.08886060612399
110,1000,balanced,freshness_priority,0.0,Freshness-Priority,53.60157357363638
111,1000,balanced,freshness_priority,73.4382741155041,Freshness-Priority,53.77868697133163
112,1000,balanced,freshness_priority,36.44701789752253,Freshness-Priority,53.62530936890854
113,1000,balanced,freshness_priority,0.0,Freshness-Priority,53.15491191830408
114,1000,balanced,freshness_priority,0.0,Freshness-Priority,52.692695292927525
115,1000,balanced,freshness_priority,325.659720191532,Freshness-Priority,55.04585930067411
116,1000,balanced,freshness_priority,11.639964058598707,Freshness-Priority,54.67486874304954
117,1000,balanced,freshness_priority,0.0,Freshness-Priority,54.21152239776946
118,1000,balanced,freshness_priority,0.0,Freshness-Priority,53.755963386023495
119,1000,balanced,freshness_priority,0.0,Freshness-Priority,53.307997024473295
120,1000,balanced,freshness_priority,0.4579555926866305,Freshness-Priority,52.871219822557705
121,1000,balanced,freshness_priority,0.4134222418224453,Freshness-Priority,52.44123787517463
122,1000,balanced,freshness_priority,8.561328669034083,Freshness-Priority,52.08449064585641
123,1000,balanced,freshness_priority,0.0,Freshness-Priority,51.66445443097047
124,1000,balanced,freshness_priority,9.864342975959516,Freshness-Priority,51.330053539330386
125,1000,balanced,freshness_priority,26.62590389084289,Freshness-Priority,51.133988859580484
